frame_idx,sim_time_s,peak_joint,peak_value
296,11.6500,fl_knee,0.1949
297,11.6830,fl_knee,0.1949
298,11.7160,fl_knee,0.1950
299,11.7490,fl_knee,0.1950
300,11.7820,fl_knee,0.1950
301,11.8150,fl_knee,0.1950
302,11.8480,fl_knee,0.1950
303,11.8810,fl_knee,0.1941
304,11.9140,fl_knee,0.1942
305,11.9470,fl_knee,0.1930
306,11.9800,fl_knee,0.1928
307,12.0130,fl_knee,0.1924
308,12.0460,fl_knee,0.1919
309,12.0790,fl_knee,0.1918
310,12.1120,fl_knee,0.1917
311,12.1450,fl_knee,0.1915
312,12.1780,fl_knee,0.2022
313,12.2110,fl_knee,0.1912
314,12.2440,fl_knee,0.1911
315,12.2770,fl_knee,0.1911
316,12.3100,fl_knee,0.1910
317,12.3430,fl_knee,0.1910
318,12.3760,fl_knee,0.1910
319,12.4090,fl_knee,0.1910
320,12.4420,fl_knee,0.1910
321,12.4750,fl_knee,0.1911
322,12.5080,fl_knee,0.1911
323,12.5410,fl_knee,0.1912
324,12.5740,fl_knee,0.1913
325,12.6070,fl_knee,0.1913
326,12.6400,fl_knee,0.1914
327,12.6730,fl_knee,0.1915
328,12.7060,fl_knee,0.1915
329,12.7390,fl_knee,0.1916
330,12.7720,fl_knee,0.1917
331,12.8050,fl_knee,0.1918
332,12.8380,fl_knee,0.1919
333,12.8710,fl_knee,0.1920
334,12.9040,fl_knee,0.1920
335,12.9370,fl_knee,0.1921
336,12.9700,fl_knee,0.1922
337,13.0030,fl_knee,0.1922
338,13.0360,fl_knee,0.1921
339,13.0690,fl_knee,0.1921
340,13.1020,fl_knee,0.1921
341,13.1350,fl_knee,0.1921
342,13.1680,fl_knee,0.1915
343,13.2010,fl_knee,0.1914
344,13.2340,fl_knee,0.1912
345,13.2670,fl_knee,0.1908
346,13.3000,fl_knee,0.1906
347,13.3330,fl_knee,0.1905
348,13.3660,fl_knee,0.1904
349,13.3990,fl_knee,0.1904
350,13.4320,fl_knee,0.1900
351,13.4650,fl_knee,0.1900
352,13.4980,fl_knee,0.1898
353,13.5310,fl_knee,0.1898
354,13.5640,fl_knee,0.1898
355,13.5970,fl_knee,0.1898
356,13.6300,fl_knee,0.1898
357,13.6630,fl_knee,0.1899
358,13.6960,fl_knee,0.1899
359,13.7290,fl_knee,0.1900
360,13.7620,fl_knee,0.1900
361,13.7950,fl_knee,0.1901
362,13.8280,fl_knee,0.1902
363,13.8610,fl_knee,0.1902
364,13.8940,fl_knee,0.2009
365,13.9270,fl_knee,0.1885
366,13.9600,fl_knee,0.1885
367,13.9930,fl_knee,0.1888
368,14.0260,fl_knee,0.1885
369,14.0590,fl_knee,0.1883
370,14.0920,fl_knee,0.1882
371,14.1250,fl_knee,0.1881
372,14.1580,fl_knee,0.1880
373,14.1910,fl_knee,0.1880
374,14.2240,fl_knee,0.1893
375,14.2570,fl_knee,0.1885
376,14.2900,fl_knee,0.1882
377,14.3230,fl_knee,0.1882
378,14.3560,fl_knee,0.1881
379,14.3890,fl_knee,0.1881
380,14.4220,fl_knee,0.1881
381,14.4550,fl_knee,0.1882
382,14.4880,fl_knee,0.1883
383,14.5210,fl_knee,0.1883
384,14.5540,fl_knee,0.1884
385,14.5870,fl_knee,0.1885
386,14.6200,fl_knee,0.1885
387,14.6530,fl_knee,0.1886
388,14.6860,fl_knee,0.1887
389,14.7190,fl_knee,0.1887
390,14.7520,fl_knee,0.1888
391,14.7850,fl_knee,0.1889
392,14.8180,fl_knee,0.1890
393,14.8510,fl_knee,0.1891
394,14.8840,fl_knee,0.1891
395,14.9170,fl_knee,0.1892
396,14.9500,fl_knee,0.1893
397,14.9830,fl_knee,0.1894
398,15.0160,fl_knee,0.1894
399,15.0490,fl_knee,0.1895
400,15.0820,fl_knee,0.1895
401,15.1150,fl_knee,0.1895
402,15.1480,fl_knee,0.1896
403,15.1810,fl_knee,0.1896
404,15.2140,fl_knee,0.1897
405,15.2470,fl_knee,0.2003
406,15.2800,fl_knee,0.1891
407,15.3130,fl_knee,0.1890
408,15.3460,fl_knee,0.1889
409,15.3790,fl_knee,0.1889
410,15.4120,fl_knee,0.1889
411,15.4450,fl_knee,0.1889
412,15.4780,fl_knee,0.1889
413,15.5110,fl_knee,0.1883
414,15.5440,fl_knee,0.1882
415,15.5770,fl_knee,0.1881
416,15.6100,fl_knee,0.1882
417,15.6430,fl_knee,0.1882
418,15.6760,fl_knee,0.1882
419,15.7090,fl_knee,0.1883
420,15.7420,fl_knee,0.1884
421,15.7750,fl_knee,0.1881
422,15.8080,fl_knee,0.1879
423,15.8410,fl_knee,0.1878
424,15.8740,fl_knee,0.1876
425,15.9070,fl_knee,0.1873
426,15.9400,fl_knee,0.1873
427,15.9730,fl_knee,0.1872
428,16.0060,fl_knee,0.1872
429,16.0390,fl_knee,0.1873
430,16.0720,fl_knee,0.1873
431,16.1050,fl_knee,0.1873
432,16.1380,fl_knee,0.1872
433,16.1710,fl_knee,0.1870
434,16.2040,fl_knee,0.1869
435,16.2370,fl_knee,0.1869
436,16.2700,fl_knee,0.1869
437,16.3030,fl_knee,0.1869
438,16.3360,fl_knee,0.1870
439,16.3690,fl_knee,0.1870
440,16.4020,fl_knee,0.1870
441,16.4350,fl_knee,0.1870
442,16.4680,fl_knee,0.1903
443,16.5010,fl_knee,0.1869
444,16.5340,fl_knee,0.1867
445,16.5670,fl_knee,0.1866
446,16.6000,fl_knee,0.1866
447,16.6330,fl_knee,0.1866
448,16.6660,fl_knee,0.1867
449,16.6990,fl_knee,0.1867
450,16.7320,fl_knee,0.1867
451,16.7650,fl_knee,0.1867
452,16.7980,fl_knee,0.1867
453,16.8310,fl_knee,0.1867
454,16.8640,fl_knee,0.1867
455,16.8970,fl_knee,0.1868
456,16.9300,fl_knee,0.1868
457,16.9630,fl_knee,0.1868
458,16.9960,fl_knee,0.1868
459,17.0290,fl_knee,0.1869
460,17.0620,fl_knee,0.1869
461,17.0950,fl_knee,0.1869
462,17.1280,fl_knee,0.1869
463,17.1610,fl_knee,0.1869
464,17.1940,fl_knee,0.1870
465,17.2270,fl_knee,0.1870
466,17.2600,fl_knee,0.1870
467,17.2930,fl_knee,0.1870
468,17.3260,fl_knee,0.1871
469,17.3590,fl_knee,0.1871
470,17.3920,fl_knee,0.1871
471,17.4250,fl_knee,0.1871
472,17.4580,fl_knee,0.1872
473,17.4910,fl_knee,0.1872
474,17.5240,fl_knee,0.1872
475,17.5570,fl_knee,0.1872
476,17.5900,fl_knee,0.1873
477,17.6230,fl_knee,0.1873
478,17.6560,fl_knee,0.1873
479,17.6890,fl_knee,0.1873
480,17.7220,fl_knee,0.1981
481,17.7550,fl_knee,0.1867
482,17.7880,fl_knee,0.1866
483,17.8210,fl_knee,0.1865
484,17.8540,fl_knee,0.1862
485,17.8870,fl_knee,0.1858
486,17.9200,fl_knee,0.1857
487,17.9530,fl_knee,0.1857
488,17.9860,fl_knee,0.1856
489,18.0190,fl_knee,0.1856
490,18.0520,fl_knee,0.1856
491,18.0850,fl_knee,0.1856
492,18.1180,fl_knee,0.1856
493,18.1510,fl_knee,0.1856
494,18.1840,fl_knee,0.1856
495,18.2170,fl_knee,0.1857
496,18.2500,fl_knee,0.1857
497,18.2830,fl_knee,0.1857
498,18.3160,fl_knee,0.1856
499,18.3490,fl_knee,0.1854
500,18.3820,fl_knee,0.1855
501,18.4150,fl_knee,0.1849
502,18.4480,fl_knee,0.1844
503,18.4810,fl_knee,0.1842
504,18.5140,fl_knee,0.1840
505,18.5470,fl_knee,0.1840
506,18.5800,fl_knee,0.1839
507,18.6130,fl_knee,0.1835
508,18.6460,fl_knee,0.1834
509,18.6790,fl_knee,0.1833
510,18.7120,fl_knee,0.1832
511,18.7450,fl_knee,0.1832
512,18.7780,fl_knee,0.1832
513,18.8110,fl_knee,0.1830
514,18.8440,fl_knee,0.1830
515,18.8770,fl_knee,0.1830
516,18.9100,fl_knee,0.1830
517,18.9430,fl_knee,0.1830
518,18.9760,fl_knee,0.1830
519,19.0090,fl_knee,0.1831
520,19.0420,fl_knee,0.1831
521,19.0750,fl_knee,0.1832
522,19.1080,fl_knee,0.1832
523,19.1410,fl_knee,0.1832
524,19.1740,fl_knee,0.1833
525,19.2070,fl_knee,0.1833
526,19.2400,fl_knee,0.1833
527,19.2730,fl_knee,0.1834
528,19.3060,fl_knee,0.1834
529,19.3390,fl_knee,0.1834
530,19.3720,fl_knee,0.1835
531,19.4050,fl_knee,0.1835
532,19.4380,fl_knee,0.1835
533,19.4710,fl_knee,0.1836
534,19.5040,fl_knee,0.1836
535,19.5370,fl_knee,0.1834
536,19.5700,fl_knee,0.1833
537,19.6030,fl_knee,0.1831
538,19.6360,fl_knee,0.1829
539,19.6690,fl_knee,0.1828
540,19.7020,fl_knee,0.1828
541,19.7350,fl_knee,0.1828
542,19.7680,fl_knee,0.1828
543,19.8010,fl_knee,0.1829
544,19.8340,fl_knee,0.1829
545,19.8670,fl_knee,0.1830
546,19.9000,fl_knee,0.1830
547,19.9330,fl_knee,0.1830
548,19.9660,fl_knee,0.1830
549,19.9990,fl_knee,0.1831
550,20.0320,fl_knee,0.1831
551,20.0650,fl_knee,0.1831
552,20.0980,fl_knee,0.1831
553,20.1310,fl_knee,0.1831
554,20.1640,fl_knee,0.1831
555,20.1970,fl_knee,0.1832
556,20.2300,fl_knee,0.1832
557,20.2630,fl_knee,0.1832
558,20.2960,fl_knee,0.1832
559,20.3290,fl_knee,0.1832
560,20.3620,fl_knee,0.1832
561,20.3950,fl_knee,0.1833
562,20.4280,fl_knee,0.1833
563,20.4610,fl_knee,0.1833
564,20.4940,fl_knee,0.1833
565,20.5270,fl_knee,0.1833
566,20.5600,fl_knee,0.1833
567,20.5930,fl_knee,0.1833
568,20.6260,fl_knee,0.1833
569,20.6590,fl_knee,0.1833
570,20.6920,fl_knee,0.1833
571,20.7250,fl_knee,0.1834
572,20.7580,fl_knee,0.1834
573,20.7910,fl_knee,0.1834
574,20.8240,fl_knee,0.1834
575,20.8570,fl_knee,0.1834
576,20.8900,fl_knee,0.1834
577,20.9230,fl_knee,0.1834
578,20.9560,fl_knee,0.1834
579,20.9890,fl_knee,0.1834
580,21.0220,fl_knee,0.1834
581,21.0550,fl_knee,0.1834
582,21.0880,fl_knee,0.1835
583,21.1210,fl_knee,0.1835
584,21.1540,fl_knee,0.1835
585,21.1870,fl_knee,0.1835
