Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
31,0.62,-0.5746587964034071,-20.006455289264675,-0.41529955156915155,37.6108795418386,0.9414,47.514920677647595,0.9414,27.000388960572963,-0.8066823082718988,40.25639384277127,0.9414,50.68885631008991,-0.29274187319659506,-7.85280355715817,-0.26183339868744804,-42.25297663367964,-0.9414,-51.871935356663386,0.3651312363732169,16.46398733404275,0.9414,-39.789035547274466,-0.9414,-59.407660274244186
32,0.64,-0.2660118474829942,-26.713255171823217,-0.2789309453161846,35.80339930432557,0.9414,47.514920677647595,0.9414,23.985778950875897,-0.8264363598167415,40.277296346196586,0.9414,51.968771443992765,-0.4891746801309943,-12.504785004688534,0.22411235519395362,-42.25297663367964,-0.9414,-59.91712849442015,0.2457963383086827,16.46398733404275,0.9414,-40.96416723105998,-0.9414,-59.71827385004371
33,0.66,-0.3607854389081057,-28.532894446940315,-0.44224883417403693,35.37268961497341,0.9414,61.63073196486326,0.762891754682775,24.30438512954403,-0.8373695367555054,40.72790498941532,0.9414,52.82321692372756,-0.22967504685889223,-12.888727564673411,0.5067837706046407,-42.25297663367964,-0.9414,-64.08281148897753,0.25681394975831057,18.22841770316882,0.81080313000222,-40.96416723105998,-0.9414,-59.12443667610562
34,0.68,-0.4984838235142493,-28.83126684163317,-0.5118616389483721,36.27166966206407,0.9414,66.03395768498731,0.46118760495628797,27.981026383872926,-0.7523070829226042,40.53225567332994,0.9414,52.38312288315782,-0.1966798381618023,-15.540202762497536,0.49706406886119814,-55.84006555822024,-0.8845934874890768,-64.08281148897753,0.27788865166886173,18.830468868414293,0.7043363343564517,-40.07727945334334,-0.9414,-56.609301629026014
35,0.7,-0.720130998479782,-27.52843318064897,-0.5408629334185835,36.871821112497166,0.9414,66.79729883386766,0.38736552287551895,30.50484640075632,-0.8092835256048553,40.10940679431242,0.9414,52.41667857817816,-0.18900034925048473,-15.778529663776634,0.5121535282609334,-56.37020587255926,-0.9414,-64.08281148897753,0.3525420310283518,18.879146143471356,0.7375461755662408,-39.51842466993367,-0.9414,-54.028876779886545
36,0.72,-0.692097805269731,-27.455976691995645,-0.4505120116260277,36.76251639765971,0.9414,66.35904465173878,0.42007708005771927,30.645250291593545,-0.9381385623326532,40.63417113887824,0.9414,53.44341319132555,-0.6965513677921292,-15.778529663776634,0.4608038615689443,-57.25437955827938,-0.9414,-73.61597977189913,0.8075337649978718,17.24562034208549,0.8645298945211504,-39.50104079386383,-0.9414,-53.50753264987678
37,0.74,-0.6625454576834455,-28.363689332336467,-0.4396457397625162,36.76251639765971,0.9414,66.2747006551073,0.4947447463467968,29.75264141726976,-0.9414,41.52008780332109,0.9414,53.44341319132555,-0.6699811960459029,-19.784339332387333,0.4348256445793418,-57.96925410303582,-0.9414,-72.30172644449593,0.7606701247928066,16.553195120238744,0.8949007116099919,-40.51754832382127,-0.9414,-53.222502173996396
38,0.76,-0.6434945119474084,-28.363689332336467,-0.42278008455168425,36.76251639765971,0.8314509901855979,67.37316728854711,0.5345757462133295,27.978427314274686,-0.9304484850174274,41.81173116652504,0.9414,58.12338606169936,-0.6885907157567123,-20.372024081175137,0.40339395575459164,-57.96925410303582,-0.9414,-69.96734806939793,0.6672490909638291,16.193264488095092,0.9010014723646381,-40.82795765104598,-0.9414,-52.40618664320929
39,0.78,-0.5719964981104874,-28.99858375385202,-0.3406590159901976,36.00483900421081,0.2982711017096331,68.74943666638487,0.5629241260741368,27.435245059267302,-0.8932549892723789,41.78151336717832,0.9414,59.22850367201069,-0.6800780854879529,-20.583781978970194,0.39181460727605216,-57.54470368676586,-0.9414,-69.96734806939793,0.62044954970887,16.60011137134253,0.8973630665966903,-41.132157542260856,-0.9414,-51.153602851293805
40,0.8,-0.6253721628572442,-29.339020589610445,-0.36979489208909566,36.00483900421081,0.6922998940740934,70.21751302106149,0.5532649405872837,27.170685225566945,-0.9095567458493539,41.6391561029086,0.9414,60.87521931495146,-0.6562461465248587,-20.66301286455522,0.37413524826932676,-57.40985281272306,-0.9414,-67.14209592485182,0.6293753035538624,16.60011137134253,0.8683422007538871,-41.15143079013027,-0.9414,-50.632161784888325
41,0.82,-0.6311115099327033,-30.463317971650678,-0.6099145546091651,36.00483900421081,0.6881564703048499,71.29175758295246,0.557298146101789,26.927061161459278,-0.7805981253630729,41.363593994131826,0.9414,61.98548421510863,-0.9414,-21.72260451521536,0.9414,-56.763855268096655,-0.9414,-66.62265383198182,0.9414,16.940906401274397,0.6840203076815166,-40.57031279634897,-0.9414,-49.41672444585026
42,0.84,-0.5813015107853717,-30.463317971650678,-0.6687374123481363,37.69777771094963,0.6631612531795772,71.53091805495283,0.6431222404146282,26.927061161459278,-0.5590240260949997,39.940105836224554,0.9414,62.2848424511725,-0.9414,-23.38292124447302,0.8956818478984723,-47.65308667284695,-0.9414,-66.62265383198182,0.9414,16.11042990835163,0.5833661402943655,-38.975151343409344,-0.9414,-49.090351973262415
43,0.86,-0.5749992188553146,-32.53636569889779,-0.6665853557617057,38.49919419072469,0.6403807176682184,71.87743410295326,0.6685733852515597,23.544570123920252,-0.4629532120113924,37.65683755790093,0.9414,62.99059174233901,-0.9414,-24.860485846197598,0.6751888523347513,-43.564460177019605,-0.9414,-66.62265383198182,0.9414,14.451312733455303,0.5602446451460154,-38.975151343409344,-0.9414,-49.090351973262415
44,0.88,-0.6003008533050062,-32.799313020996905,-0.6462473340503992,38.61719719972708,0.6028337556072958,72.16407627695382,0.6633319563181649,23.067876121833706,-0.5336767138050726,37.15336336297275,0.9414,63.13204432822243,-0.9414,-25.382885031679848,0.7378447941534179,-43.564460177019605,-0.9414,-66.62265383198182,0.9414,14.687713088245703,0.5725566779852316,-37.709439634001804,-0.9414,-48.74962160461813
