Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
25,2.6,-28.30075576600637,-40.292244112679235,53.52162505473762,32.40637068147663,87.60991751917456,78.88479333411618,24.558203441583448,29.665632233499593,31.637137343341763,32.516921953137164,72.7335172791449,72.97890951729258,-36.214701282115406,-34.562515955841256,-31.80531995136064,-32.78623682756847,-76.2856427651633,-75.045093194388,33.190117042971735,27.098391419525413,-31.79424539913732,-31.965027451506817,-75.67401264797442,-75.88595344128794
26,2.7,-18.434948822922006,-26.24820299014817,52.129275126605485,49.68233281695252,82.245347928628,85.05259881363811,21.864302742664176,23.217690157436845,31.512853632058484,33.676141823284574,71.38298164287926,72.83921127498245,-33.190117042971735,-34.27825672528335,-31.79424539913732,-30.112916492053966,-75.67401264797442,-75.77068411563978,36.21470128211538,33.43841117225199,-31.80531995136064,-33.89602619444515,-76.2856427651633,-77.4883311710102
27,2.8,-10.007979801441346,-18.837964736143114,29.895677214181863,49.40227233904462,61.792656183251545,80.15818033009478,19.274387356634314,20.422416523339347,31.33579894564477,31.76950828747805,69.84580756625935,71.54135888441645,-30.230801469708375,-32.80558466377056,-31.768202504636474,-30.861885580939017,-74.8784037270811,-75.42734206654366,39.289406862500364,38.054479655913845,-31.808256212764075,-33.69414907597998,-76.71358979582979,-75.3791538591606
28,2.9,-10.007979801441346,-11.77007716762278,29.895677214181863,30.758082060034383,61.792656183251545,62.94422840322192,16.792509120984707,19.644056803875227,31.095640295429217,31.495133484625836,68.12058960225293,69.67447807687945,-27.349875780069883,-29.877470465850884,-31.718933159081615,-31.845981513223517,-73.89841657493315,-76.80369051300737,39.289406862500364,37.91175058716451,-31.808256212764075,-32.36605272975393,-76.71358979582979,-75.97397335940796
29,3.0,-12.159595728526515,-11.819083231569204,30.385445910816152,31.51684737242303,64.09731896322953,63.784487291964304,14.420773127510978,15.471880043113922,30.782180240859578,30.029960329220305,66.20534992257404,68.64540869082767,-24.558203441583448,-28.496330379299184,-31.637137343341738,-31.993494463622415,-72.73351727914493,-74.9092955612537,28.30075576600637,36.41931403750817,-53.52162505473764,-33.7886432054284,-87.60991751917459,-79.50741172057013
30,3.1,-14.420773127510978,-13.582866464326774,30.782180240859578,32.77418065705315,66.20534992257404,66.81806924691543,12.159595728526515,13.028169083686144,30.385445910816152,27.996368265077493,64.09731896322957,66.33494340515568,-21.864302742664176,-23.749328399067473,-31.512853632058512,-34.17213739806218,-71.38298164287927,-73.92157891387397,18.434948822922006,26.942191907690294,-52.12927512660551,-49.69658785439745,-82.245347928628,-83.74228722128224
31,3.2,-16.792509120984707,-15.516686693674748,31.095640295429217,33.284630722864584,68.12058960225293,69.19476870174171,10.007979801441346,10.469869857598168,29.895677214181863,27.477815735310738,61.792656183251545,63.967322054927386,-19.274387356634314,-21.681202850484443,-31.33579894564477,-34.29208080479596,-69.84580756625935,-72.58840408661906,10.007979801441346,17.08215722293584,-29.895677214181838,-47.55124014431456,-61.792656183251516,-81.92322132408944
32,3.3,-19.274387356634314,-17.393088251569697,31.33579894564477,31.197312271914456,69.84580756625935,69.00896777087073,10.007979801441346,9.955888202577958,29.895677214181863,30.222142372359134,61.792656183251545,63.510834156409686,-16.792509120984707,-18.797295057829665,-31.095640295429217,-31.613122274097783,-68.12058960225296,-69.26258703297057,10.007979801441346,11.131344029872455,-29.895677214181838,-30.757021048651428,-61.792656183251516,-63.44202008993957
33,3.4,-21.864302742664176,-18.659671914638782,31.512853632058484,32.55058787640841,71.38298164287926,70.24052728470811,18.434948822922006,9.650666405366561,52.129275126605485,31.358169934629526,82.245347928628,63.12292872730247,-14.420773127510978,-16.400808926805258,-30.782180240859578,-31.648015775697765,-66.20534992257402,-69.05345681321671,12.159595728526515,11.17429722588357,-30.385445910816152,-29.485113813202503,-64.09731896322955,-63.69403853679531
34,3.5,-24.55820344158342,-23.376847959020946,31.637137343341763,34.25188946641689,72.7335172791449,74.08911746821236,28.30075576600637,18.84872834909183,53.52162505473767,49.660426507337114,87.60991751917456,82.9296864586415,-12.159595728526515,-14.998865855837128,-30.38544591081618,-34.59296864657816,-64.09731896322957,-66.2845672465014,14.420773127510978,13.691027297395559,-30.782180240859578,-28.471461846250676,-66.20534992257402,-65.21210212164485
