Step,FR_hip_cmd,FR_hip_state,FR_knee_cmd,FR_knee_state,FR_foot_cmd,FR_foot_state,BR_hip_cmd,BR_hip_state,BR_knee_cmd,BR_knee_state,BR_foot_cmd,BR_foot_state,BL_hip_cmd,BL_hip_state,BL_knee_cmd,BL_knee_state,BL_foot_cmd,BL_foot_state,FL_hip_cmd,FL_hip_state,FL_knee_cmd,FL_knee_state,FL_foot_cmd,FL_foot_state
43,-33.190117042971735,-27.65421458868788,31.79424539913732,57.24425588684279,75.67401264797442,72.62288791985786,39.289406862500364,19.569312845148577,31.808256212764075,36.378641553288546,76.71358979582982,20.613496899974113,-10.007979801441346,-28.74420086319932,-29.895677214181838,-20.052840372813183,-61.792656183251516,-25.250879319191757,21.864302742664176,23.148521868800184,-31.512853632058512,-62.57267632438641,-71.38298164287927,-64.17528822925506
44,-36.21470128211538,-28.274237576319425,31.80531995136064,63.28863997939519,76.2856427651633,67.51431869020706,39.289406862500364,20.10360822226059,31.808256212764075,28.550425838700342,76.71358979582982,21.500363256251376,-10.007979801441346,-28.21831911683644,-29.895677214181838,-12.445031260597966,-61.792656183251516,-19.122499793725808,24.55820344158342,24.68989969115432,-31.637137343341738,-60.92192857159713,-72.73351727914493,-78.97584237292175
45,-39.289406862500364,-30.234539740938143,31.808256212764075,48.24570660331831,76.71358979582982,46.752162445803755,39.289406862500364,19.67099327245141,31.808256212764075,29.746258748403715,76.71358979582982,87.74558205288487,-18.434948822922006,-26.31479227044207,-52.129275126605485,-22.960862249328038,-82.24534792862798,-16.53034792774604,27.349875780069883,23.542252763696883,-31.718933159081615,-59.892163978011716,-73.89841657493315,-89.2121364827384
46,-39.289406862500364,-30.67323044138393,31.808256212764075,39.60646400782807,76.71358979582982,26.477144244634626,39.289406862500364,19.67144894926201,31.808256212764075,28.20697612712837,76.71358979582982,73.48493580594209,-28.30075576600637,-25.18654930286129,-53.52162505473767,-25.35837468083012,-87.60991751917459,-40.44195307505056,30.23080146970835,24.20750544774721,-31.76820250463645,-58.35383602037303,-74.87840372708108,-90.46990966471152
47,-39.289406862500364,-30.626028434363974,31.808256212764075,37.65837767980306,76.71358979582982,40.954601051174464,36.214701282115406,20.14037080096414,31.80531995136064,29.499289217285156,76.2856427651633,57.91465765836431,-39.289406862500364,-24.77909683473899,-31.808256212764075,-26.076995031969478,-76.71358979582979,-50.80866705081151,33.190117042971735,24.427579266461784,-31.79424539913732,-52.18771702521094,-75.67401264797442,-78.612217022039
48,-39.289406862500364,-28.762156318032744,31.808256212764075,44.891087258630876,76.71358979582982,18.438094227728975,33.190117042971735,19.907640968077157,31.79424539913732,28.622653044804384,75.67401264797442,33.11057679454643,-39.289406862500364,-26.143822984958444,-31.808256212764075,-23.523109583995407,-76.71358979582979,-44.14991991247449,36.21470128211538,23.421828745177358,-31.80531995136064,-41.90825429263451,-76.2856427651633,-65.09258932432864
49,-28.30075576600637,-26.638067334013115,53.52162505473762,48.071853535019606,87.60991751917456,20.57501656650033,30.230801469708375,20.907873163411008,31.768202504636474,28.09247408436078,74.8784037270811,31.89799789883782,-39.289406862500364,-26.601053966032868,-31.808256212764075,-20.735294685037744,-76.71358979582979,-53.097340557525726,39.289406862500364,24.298180877430845,-31.808256212764075,-40.9314660932093,-76.71358979582979,-67.03519685768626
50,-18.434948822922006,-24.17141655670636,52.129275126605485,44.760324083834185,82.245347928628,16.133896918771455,27.349875780069883,18.799940312949282,31.71893315908164,22.921632045035423,73.89841657493318,22.027621888878194,-39.289406862500364,-28.645894518370163,-31.808256212764075,-18.819060428561542,-76.71358979582979,-51.76147535857115,39.289406862500364,24.096312333723457,-31.808256212764075,-48.2852438196655,-76.71358979582979,-80.36071059109315
51,-10.007979801441346,-21.02103466051125,29.895677214181863,41.447429330383734,61.792656183251545,32.91503072636866,24.558203441583448,17.703293469712428,31.637137343341763,30.484069334250243,72.7335172791449,46.29052268024885,-36.214701282115406,-29.418928355214923,-31.80531995136064,-17.69066981172457,-76.2856427651633,-39.63434417313448,39.289406862500364,24.694813027403786,-31.808256212764075,-47.3761481983255,-76.71358979582979,-53.70387287395581
52,-10.007979801441346,-18.841461880154636,29.895677214181863,42.78125074474384,61.792656183251545,40.28636374523997,21.864302742664176,17.790553314563155,31.512853632058484,32.23671389649264,71.38298164287926,61.86626069279094,-33.190117042971735,-28.56887900295393,-31.79424539913732,-18.634070100824292,-75.67401264797442,-42.61620252453803,39.289406862500364,26.880019907493402,-31.808256212764075,-47.12777263632658,-76.71358979582979,-41.47815094604814
53,-10.007979801441346,-17.501386260699206,29.895677214181863,43.943594862970606,61.792656183251545,33.10992117698272,19.274387356634314,16.784852911578124,31.33579894564477,34.07798381531047,69.84580756625935,71.15791584035944,-30.230801469708375,-27.44417276964388,-31.768202504636474,-18.640194199361055,-74.8784037270811,-38.52223605209292,28.30075576600637,29.01094166678578,-53.52162505473764,-45.69493284673645,-87.60991751917459,-49.023824335118036
54,-10.007979801441346,-17.5559834218403,29.895677214181863,43.27247191259805,61.792656183251545,15.609996326820806,16.792509120984707,17.88231379941849,31.095640295429217,42.70121830498024,68.12058960225293,90.61116592514678,-27.349875780069883,-27.042105732288455,-31.718933159081615,-17.056159859535803,-73.89841657493315,-21.612347324862093,18.434948822922006,29.68514983186378,-52.12927512660551,-49.21861084503071,-82.245347928628,-67.27575974663125
55,-12.159595728526515,-16.104355651805818,30.385445910816152,49.72555759868043,64.09731896322953,42.75257147695818,14.420773127510978,16.84340499436409,30.782180240859578,40.44445633324831,66.20534992257404,86.06528811366105,-24.558203441583448,-26.404450158396305,-31.637137343341738,-21.821179982937114,-72.73351727914493,-51.24563349977062,10.007979801441346,29.50997053402109,-29.895677214181838,-49.95992022121586,-61.792656183251516,-74.32471937219624
56,-14.420773127510978,-14.119371089898435,30.782180240859578,52.376784719242266,66.20534992257404,57.030069476886474,12.159595728526515,15.77862552851786,30.385445910816152,38.581576395206945,64.09731896322957,84.79161139251312,-21.864302742664176,-25.74998766483289,-31.512853632058512,-22.968406593352878,-71.38298164287927,-67.7952478835937,10.007979801441346,28.546478195245918,-29.895677214181838,-49.89332829957065,-61.792656183251516,-81.2402162793833
57,-16.792509120984707,-14.797032230103264,31.095640295429217,52.997331138163595,68.12058960225293,60.16033488690053,10.007979801441346,15.552563121802173,29.895677214181863,33.53222505159851,61.792656183251545,90.9480207609338,-19.274387356634314,-24.29061454539491,-31.33579894564477,-30.547833109751938,-69.84580756625935,-87.060841956455,10.007979801441346,27.645931283891553,-29.895677214181838,-51.65222239496267,-61.792656183251516,-89.52355182615094
