frame_idx,sim_time_s,peak_joint,peak_value
303,14.0920,fl_knee,0.1642
304,14.1250,fl_knee,0.1641
305,14.1580,fl_knee,0.1641
306,14.1910,fl_knee,0.1641
307,14.2240,fl_knee,0.1640
308,14.2570,fl_knee,0.1639
309,14.2900,fl_knee,0.1639
310,14.3230,fl_knee,0.1638
311,14.3560,fl_knee,0.1638
312,14.3890,fl_knee,0.1637
313,14.4220,fl_knee,0.1637
314,14.4550,fl_knee,0.1636
315,14.4880,fl_knee,0.1636
316,14.5210,fl_knee,0.1629
317,14.5540,fl_knee,0.1626
318,14.5870,fl_knee,0.1626
319,14.6200,fl_knee,0.1625
320,14.6530,fl_knee,0.1657
321,14.6860,fl_knee,0.1616
322,14.7190,fl_knee,0.1627
323,14.7520,fl_knee,0.1679
324,14.7850,fl_knee,0.1679
325,14.8180,fl_knee,0.1678
326,14.8510,fl_knee,0.1676
327,14.8840,fl_knee,0.1671
328,14.9170,fl_knee,0.1666
329,14.9500,fl_knee,0.1663
330,14.9830,fl_knee,0.1658
331,15.0160,fl_knee,0.1653
332,15.0490,fl_knee,0.1650
333,15.0820,fl_knee,0.1644
334,15.1150,fl_knee,0.1639
335,15.1480,fl_knee,0.1636
336,15.1810,fl_knee,0.1630
337,15.2140,fl_knee,0.1627
338,15.2470,fl_knee,0.1628
339,15.2800,fl_knee,0.1631
340,15.3130,fl_knee,0.1629
341,15.3460,fl_knee,0.1627
342,15.3790,fl_knee,0.1616
343,15.4120,fl_knee,0.1615
344,15.4450,fl_knee,0.1614
345,15.4780,fl_knee,0.1614
346,15.5110,fl_knee,0.1614
347,15.5440,fl_knee,0.1651
348,15.5770,fl_knee,0.1652
349,15.6100,fl_knee,0.1652
350,15.6430,fl_knee,0.1651
351,15.6760,fl_knee,0.1650
352,15.7090,fl_knee,0.1648
353,15.7420,fl_knee,0.1646
354,15.7750,fl_knee,0.1644
355,15.8080,fl_knee,0.1656
356,15.8410,fl_knee,0.1657
357,15.8740,fl_knee,0.1657
358,15.9070,fl_knee,0.1656
359,15.9400,fl_knee,0.1655
360,15.9730,fl_knee,0.1654
361,16.0060,fl_knee,0.1651
362,16.0390,fl_knee,0.1649
363,16.0720,fl_knee,0.1647
364,16.1050,fl_knee,0.1644
365,16.1380,fl_knee,0.1642
366,16.1710,fl_knee,0.1640
367,16.2040,fl_knee,0.1637
368,16.2370,fl_knee,0.1634
369,16.2700,fl_knee,0.1632
370,16.3030,fl_knee,0.1629
371,16.3360,fl_knee,0.1626
372,16.3690,fl_knee,0.1625
373,16.4020,fl_knee,0.1621
374,16.4350,fl_knee,0.1618
375,16.4680,fl_knee,0.1617
376,16.5010,fl_knee,0.1614
377,16.5340,fl_knee,0.1610
378,16.5670,fl_knee,0.1607
379,16.6000,fl_knee,0.1607
380,16.6330,fl_knee,0.1607
381,16.6660,fl_knee,0.1606
382,16.6990,fl_knee,0.1606
383,16.7320,fl_knee,0.1605
384,16.7650,fl_knee,0.1605
385,16.7980,fl_knee,0.1604
386,16.8310,fl_knee,0.1604
387,16.8640,fl_knee,0.1603
388,16.8970,fl_knee,0.1603
389,16.9300,fl_knee,0.1602
390,16.9630,fl_knee,0.1602
391,16.9960,fl_knee,0.1601
392,17.0290,fl_knee,0.1601
393,17.0620,fl_knee,0.1600
394,17.0950,fl_knee,0.1599
395,17.1280,fl_knee,0.1598
396,17.1610,fl_knee,0.1597
397,17.1940,fl_knee,0.1596
398,17.2270,fl_knee,0.1595
399,17.2600,fl_knee,0.1594
400,17.2930,fl_knee,0.1594
401,17.3260,fl_knee,0.1593
402,17.3590,fl_knee,0.1591
403,17.3920,fl_knee,0.1591
404,17.4250,fl_knee,0.1590
405,17.4580,fl_knee,0.1589
406,17.4910,fl_knee,0.1588
407,17.5240,fl_knee,0.1579
408,17.5570,fl_knee,0.1579
409,17.5900,fl_knee,0.1578
410,17.6230,fl_knee,0.1577
411,17.6560,fl_knee,0.1576
412,17.6890,fl_knee,0.1576
413,17.7220,fl_knee,0.1576
414,17.7550,fl_knee,0.1576
415,17.7880,fl_knee,0.1576
416,17.8210,fl_knee,0.1577
417,17.8540,fl_knee,0.1577
418,17.8870,fl_knee,0.1577
419,17.9200,fl_knee,0.1576
420,17.9530,fl_knee,0.1576
421,17.9860,fl_knee,0.1575
422,18.0190,fl_knee,0.1574
423,18.0520,fl_knee,0.1574
424,18.0850,fl_knee,0.1573
425,18.1180,fl_knee,0.1572
426,18.1510,fl_knee,0.1572
427,18.1840,fl_knee,0.1571
428,18.2170,fl_knee,0.1570
429,18.2500,fl_knee,0.1570
430,18.2830,fl_knee,0.1569
431,18.3160,fl_knee,0.1569
432,18.3490,fl_knee,0.1568
433,18.3820,fl_knee,0.1567
434,18.4150,fl_knee,0.1567
435,18.4480,fl_knee,0.1566
436,18.4810,fl_knee,0.1565
437,18.5140,fl_knee,0.1565
438,18.5470,fl_knee,0.1564
439,18.5800,fl_knee,0.1569
440,18.6130,fl_knee,0.1682
441,18.6460,fl_knee,0.1552
442,18.6790,fl_knee,0.1550
443,18.7120,fl_knee,0.1549
444,18.7450,fl_knee,0.1549
445,18.7780,fl_knee,0.1548
446,18.8110,fl_knee,0.1548
447,18.8440,fl_knee,0.1548
448,18.8770,fl_knee,0.1549
449,18.9100,fl_knee,0.1549
450,18.9430,fl_knee,0.1549
451,18.9760,fl_knee,0.1549
452,19.0090,fl_knee,0.1550
453,19.0420,fl_knee,0.1550
454,19.0750,fl_knee,0.1551
455,19.1080,fl_knee,0.1551
456,19.1410,fl_knee,0.1551
457,19.1740,fl_knee,0.1552
458,19.2070,fl_knee,0.1552
459,19.2400,fl_knee,0.1553
460,19.2730,fl_knee,0.1553
461,19.3060,fl_knee,0.1553
462,19.3390,fl_knee,0.1554
