Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
38,0.76,0.4578737687598674,-30.592003104544425,0.3916891106883589,34.26164028905534,0.6213282860111996,70.07947705956299,0.500828013304561,28.09666624389074,0.9513505487990699,40.42750395474196,0.9203494199371668,66.48468522226639,0.7175714306020475,-20.979074575016554,0.39111027963336614,-56.86396979526512,0.8473287854534851,-76.6058648620643,0.713712539534602,17.258096951541074,0.9657631273730701,-41.66735039350289,0.9386702789696476,-55.85903318175349
39,0.78,0.47471237694667323,-30.592003104544425,0.39380090758510466,34.28065205410555,0.6226395916134758,70.0468887116415,0.48668723638706324,27.84842030555273,0.9568906818210087,40.52863547073147,0.9017802197109063,66.53274635851481,0.6946316760712888,-20.98753353039974,0.402624487401939,-56.94152064009359,0.8361587677442042,-76.63573546467714,0.734014026715561,17.17705601664637,0.9664628162855095,-41.73640015640796,0.9408764616492693,-55.85903318175349
40,0.8,0.5070324812722297,-30.553705336205844,0.38070196575089293,34.27726309080051,0.627099774942131,70.01301138090358,0.4584369865861718,27.93899922601717,0.9559849066961642,40.57106987647976,0.8923117011002979,66.62832853056845,0.6755228410958145,-21.078638441036812,0.40137504914460487,-56.98163314172414,0.8356697058897284,-76.66116907857338,0.7485077746173571,17.074589383285712,0.9508338891440445,-41.74052321142559,0.952497616701336,-55.851210301823556
41,0.82,0.5213627609274896,-31.2564438085366,0.3793664799491673,35.36858423195611,0.6299827369347875,70.01301138090358,0.44689785674876725,27.93899922601717,0.9532322500669762,39.847578322254314,0.886696227011281,67.01005533583087,0.662652541262533,-22.073911246210443,0.40406394293778675,-54.36866972992455,0.8353696955957535,-73.45361921475964,0.7586953296699083,16.07395386120209,0.9462604134480592,-41.73969325204115,0.9530897344814181,-55.800191057519264
42,0.84,0.4620312901743668,-31.2564438085366,0.591340572064438,35.936056343860415,0.6154202001615429,70.44753490825877,0.5467936365398096,25.038588327172032,0.6732128354726304,37.933473434892136,0.4287734227307208,67.23256552189729,0.9579542354318095,-24.377153477816776,0.7050874430391543,-49.274501972703334,0.8169896876808714,-71.67724460022738,1.0426726166525229,14.721976792285544,0.7796781158177123,-39.70527737000962,0.9525006910466209,-55.60566097379206
43,0.86,0.45443416269665415,-33.73198477395904,0.7243733786988016,36.894591680240396,0.5539575463023105,71.31526531029563,0.5609691866078647,24.31989790062713,0.5059497956599713,36.82077269694879,0.821875633641395,66.99498741225506,0.9609722410295359,-25.301095136947957,0.7649144532307925,-42.87371311090358,0.9218002108813633,-66.63095114184802,1.039554446173303,14.307360663091638,0.6326495690169156,-39.3062240155857,0.9541680418431309,-55.09471963662679
44,0.88,0.4551346717453271,-33.7555955395981,0.6578304177241636,37.34246681148713,0.5250010601058506,71.11252456124147,0.5123319557005228,24.111551493538652,0.426567743156814,36.82077269694879,0.2886413360122012,67.20200482820363,0.968187896922102,-25.698258532019626,0.683018540355609,-42.87371311090358,0.9147935104883663,-65.34367166282416,0.8607292352582464,17.256344053014228,0.7240008185580382,-39.089236126747075,0.9153099494853082,-59.01162062148204
45,0.9,0.4365158278291405,-33.92500987794452,0.6619160849762954,37.4075057556166,0.6441932737052908,71.11252456124147,0.5691382465110246,24.089362810093615,0.5814886550731928,36.29653863241307,0.7218295006135684,67.59622560342555,0.956553064395822,-27.214494259026896,0.6739156157372859,-39.495630039108974,0.9119708317375987,-64.7711809793646,0.5727051812693277,19.810199346126858,0.7361996855641195,-39.19413976769672,0.8973567062097384,-60.7988840506521
46,0.92,0.5236106627442193,-33.704350338421264,0.671139543672607,37.36338901762151,0.7758108370948597,69.31388721833295,0.4719001303778967,24.089362810093615,0.6183132645883148,36.58849275421275,0.6459590271677276,68.16005143929566,0.8889081818874215,-28.35490433543921,0.7102454773262944,-39.46498967231996,0.8942916517954698,-65.3606894427059,0.7647483967731119,20.582610254962734,0.7540505958557198,-39.32029933703086,0.9008968623091554,-63.73281199803672
47,0.94,0.47841573724834874,-33.69716443042061,0.6718020798673182,37.39001620289272,0.8477187076613344,67.94243765427673,0.23685260294185262,24.089362810093615,0.6687879071125008,37.039611535593714,0.6037906644953024,68.35774116549068,0.8723953608870937,-29.03527702937886,0.7272450651485913,-39.46498967231996,0.8921892214022262,-65.7711449992574,0.7799068673488824,21.31204227191599,0.7856100616841716,-39.744817654826996,0.8608207682002654,-64.95108766985487
